,Unnamed: 0,artist,title,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,popularity,top year,hip_hop,other,pop,rap,rock,group,solo
99,121,Chris Brown,Beautiful People,128,78,42,-6,8,54,226,7,16,59,2011,0,0,1,0,0,0,1
100,122,Christina Perri,Jar of Hearts,75,35,35,-6,12,9,247,73,3,77,2011,0,0,1,0,0,0,1
101,123,Cobra Starship,You Make Me Feel... (feat. Sabi),132,86,67,-3,4,75,216,2,5,75,2011,0,0,1,0,0,1,0
102,125,Coldplay,Every Teardrop Is a Waterfall,118,73,43,-7,17,33,241,0,4,75,2011,0,1,0,0,0,1,0
103,126,David Guetta,Where Them Girls At (feat. Nicki Minaj & Flo Rida),130,87,66,-3,23,56,210,3,4,69,2011,0,1,0,0,0,0,1
104,127,David Guetta,Who's That Chick? (feat. Rihanna),128,60,68,-5,5,93,201,0,12,66,2011,0,1,0,0,0,0,1
106,133,Ed Sheeran,The A Team,85,29,64,-10,18,41,258,67,4,80,2011,0,0,1,0,0,0,1
107,134,Ed Sheeran,Lego House,160,64,59,-8,13,56,185,56,10,77,2011,0,0,1,0,0,0,1
108,135,Edward Maya,Stereo Love - Radio Edit,127,78,80,-4,8,59,185,3,3,71,2011,0,1,0,0,0,0,1
109,136,Enrique Iglesias,Tonight (I'm Fuckin' You),126,88,67,-5,14,27,232,3,4,65,2011,0,0,1,0,0,0,1
110,137,Eric Church,Springsteen,104,81,69,-6,19,93,263,10,3,77,2011,0,1,0,0,0,0,1
111,138,Example,Changed the Way You Kiss Me - Radio Edit,127,86,58,-4,9,19,195,1,4,69,2011,0,0,1,0,0,0,1
112,139,Far East Movement,Rocketeer,96,85,66,-6,27,36,211,18,5,73,2011,1,0,0,0,0,1,0
113,140,Florence + The Machine,Shake It Out,107,80,53,-4,11,22,278,1,4,68,2011,0,0,1,0,0,1,0
114,141,Foster The People,Pumped Up Kicks,128,71,73,-6,10,97,240,14,3,88,2011,0,1,0,0,0,1,0
115,142,Grouplove,Tongue Tied,113,94,56,-6,16,37,218,1,4,84,2011,0,0,1,0,0,1,0
116,143,Gym Class Heroes,Stereo Hearts (feat. Adam Levine),90,80,65,-3,27,80,211,3,10,87,2011,0,0,1,0,0,1,0
117,144,Hot Chelle Rae,Tonight Tonight,100,78,69,-5,16,81,200,8,12,79,2011,0,0,1,0,0,1,0
